name	ip	port	slider
EA1LC1	10.0.1.111	9111	EA1_LC1
EA1LC2	10.0.1.111	9112	EA1_LC2
EA2LC1	10.0.1.121	9121	EA2_LC1
EA2LC2	10.0.1.121	9122	EA2_LC2
EA3LC1	10.0.1.131	9131	EA3_LC1
EA3LC2	10.0.1.131	9132	EA3_LC2
EA4LC1	10.0.1.141	9141	EA4_LC1
EA4LC2	10.0.1.141	9142	EA4_LC2
EB1LC1	10.0.1.211	9211	EB1_LC1
EB1LC2	10.0.1.211	9212	EB1_LC2
EB2LC1	10.0.1.221	9221	EB2_LC1
EB2LC2	10.0.1.221	9222	EB2_LC2
EB3LC1	10.0.1.231	9231	EB3_LC1
EB3LC2	10.0.1.231	9232	EB3_LC2
EB4LC1	10.0.1.241	9241	EB4_LC1
EB4LC2	10.0.1.241	9242	EB4_LC2
